coil_type,turns1,turns2,r1,r2,wire_d,pitch1,pitch2,Lcore,Lpri,Lsec,L
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00113098379940432,0.0017775925610464,0.00688616399596333,5.32512572565146e-06,2.36129240927696e-05,2.8938049818421e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00082529982720901,0.00165115126507775,0.00527703359748452,5.48851903101475e-06,1.59926297816192e-05,2.1481148812634e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00129843062231547,0.00141320373008975,0.00739999965095734,5.33438795897476e-06,2.57966935853456e-05,3.11310815443203e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00109978815418888,0.00195049830494493,0.00603750302514553,5.29805790927585e-06,1.94169917562881e-05,2.47150496655639e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00164037302235304,0.000993481754515982,0.00501432469456743,5.26693523800547e-06,1.5236376595021e-05,2.05033118330265e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00158991055578294,0.000900283651150106,0.00670836096739997,5.30818400685294e-06,2.25156593830375e-05,2.78238433898904e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00117349740963599,0.00184053362241082,0.00518080765511083,5.29432391912889e-06,1.63493385146385e-05,2.16436624337674e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000984180214588017,0.00126047910704704,0.00580321624006251,5.51201003603944e-06,1.87212792435167e-05,2.42332892795562e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00198728059545792,0.00183153874866915,0.00724087403841091,5.00650120915115e-06,2.25079175901443e-05,2.75144187992954e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00133383364236524,0.00187852086030785,0.00535088172463235,5.22580900011574e-06,1.65963662470021e-05,2.18221752471179e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00165283572657602,0.000809408246052261,0.00766308750013648,5.30058885211167e-06,2.610684265736e-05,3.14074315094717e-05
