"H (A_per_meter)" 	"B (tesla)"
0.000000    0.000000    
1.000000    0.000797    
1.149757    0.000916    
1.321941    0.001054    
1.519911    0.001211    
1.747528    0.001393    
2.009233    0.001601    
2.310130    0.001841    
2.656088    0.002117    
3.053856    0.002434    
3.511192    0.002799    
4.037017    0.003218    
4.641589    0.003699    
5.336699    0.004254    
6.135907    0.004890    
7.054802    0.005623    
8.111308    0.006465    
9.326033    0.007433    
10.722672    0.008546    
12.328467    0.009826    
14.174742    0.011298    
16.297508    0.012989    
18.738174    0.014934    
21.544347    0.017171    
24.770764    0.019742    
28.480359    0.022698    
32.745492    0.026097    
37.649358    0.030004    
43.287613    0.034496    
49.770236    0.039660    
57.223677    0.045597    
65.793322    0.052420    
75.646333    0.060264    
86.974900    0.069278    
100.000000    0.079637    
114.975700    0.091539    
132.194115    0.105210    
151.991108    0.120910    
174.752840    0.138931    
200.923300    0.159608    
231.012970    0.183314    
265.608778    0.210469    
305.385551    0.241539    
351.119173    0.277034    
403.701726    0.317504    
464.158883    0.363524    
533.669923    0.415682    
613.590727    0.474542    
705.480231    0.540603    
811.130831    0.614235    
932.603347    0.695609    
1072.267222    0.784605    
1232.846739    0.880734    
1417.474163    0.983076    
1629.750835    1.090263    
1873.817423    1.200531    
2154.434690    1.311844    
2477.076356    1.422070    
2848.035868    1.529190    
3274.549163    1.631465    
3764.935807    1.727564    
4328.761281    1.816602    
4977.023564    1.898128    
5722.367659    1.972057    
6579.332247    2.038592    
7564.633276    2.098132    
8697.490026    2.151204    
10000.000000    2.198402    
11497.569954    2.240341    
13219.411485    2.277635    
15199.110830    2.310869    
17475.284000    2.340601    
20092.330026    2.367345    
23101.297001    2.391584    
26560.877829    2.413761    
30538.555088    2.434292    
35111.917342    2.453565    
40370.172586    2.471947    
46415.888336    2.489793    
53366.992312    2.507445    
61359.072734    2.525248    
70548.023107    2.543546    
81113.083079    2.562695    
93260.334688    2.583068    
107226.722201    2.605063    
123284.673944    2.629107    
141747.416293    2.655670    
162975.083462    2.685270    
187381.742286    2.718484    
215443.469003    2.755960    
247707.635599    2.798429    
284803.586844    2.846718    
327454.916288    2.901771    
376493.580679    2.964661    
432876.128108    3.036615    
497702.356433    3.119036    
572236.765935    3.213531    
657933.224658    3.321945    
756463.327555    3.446392    
869749.002618    3.589299    
1000000.000000    3.753454    
