"H (A_per_meter)" 	"B (tesla)"
0.000000    0.000000    
1.000000    0.015001    
1.149757    0.017247    
1.321941    0.019830    
1.519911    0.022799    
1.747528    0.026212    
2.009233    0.030137    
2.310130    0.034649    
2.656088    0.039835    
3.053856    0.045797    
3.511192    0.052651    
4.037017    0.060527    
4.641589    0.069580    
5.336699    0.079981    
6.135907    0.091931    
7.054802    0.105656    
8.111308    0.121414    
9.326033    0.139499    
10.722672    0.160241    
12.328467    0.184014    
14.174742    0.211232    
16.297508    0.242353    
18.738174    0.277874    
21.544347    0.318327    
24.770764    0.364261    
28.480359    0.416222    
32.745492    0.474717    
37.649358    0.540167    
43.287613    0.612839    
49.770236    0.692774    
57.223677    0.779705    
65.793322    0.872981    
75.646333    0.971532    
86.974900    1.073882    
100.000000    1.178223    
114.975700    1.282567    
132.194115    1.384923    
151.991108    1.483488    
174.752840    1.576781    
200.923300    1.663735    
231.012970    1.743701    
265.608778    1.816409    
305.385551    1.881902    
351.119173    1.940449    
403.701726    1.992472    
464.158883    2.038478    
533.669923    2.079015    
613.590727    2.114633    
705.480231    2.145867    
811.130831    2.173215    
932.603347    2.197139    
1072.267222    2.218055    
1232.846739    2.236340    
1417.474163    2.252329    
1629.750835    2.266319    
1873.817423    2.278575    
2154.434690    2.289328    
2477.076356    2.298785    
2848.035868    2.307127    
3274.549163    2.314516    
3764.935807    2.321094    
4328.761281    2.326988    
4977.023564    2.332314    
5722.367659    2.337175    
6579.332247    2.341665    
7564.633276    2.345873    
8697.490026    2.349878    
10000.000000    2.353761    
11497.569954    2.357597    
13219.411485    2.361460    
15199.110830    2.365425    
17475.284000    2.369571    
20092.330026    2.373978    
23101.297001    2.378731    
26560.877829    2.383924    
30538.555088    2.389659    
35111.917342    2.396045    
40370.172586    2.403210    
46415.888336    2.411291    
53366.992312    2.420447    
61359.072734    2.430856    
70548.023107    2.442722    
81113.083079    2.456275    
93260.334688    2.471780    
107226.722201    2.489541    
123284.673944    2.509902    
141747.416293    2.533261    
162975.083462    2.560075    
187381.742286    2.590865    
215443.469003    2.626232    
247707.635599    2.666868    
284803.586844    2.713563    
327454.916288    2.767228    
376493.580679    2.828912    
432876.128108    2.899816    
497702.356433    2.981324    
572236.765935    3.075026    
657933.224658    3.182750    
756463.327555    3.306596    
869749.002618    3.448981    
1000000.000000    3.612682    
