coil_type,turns,turns2,r1,r2,wire_d,pitch1,pitch2,Lcore,Lpri,Lsec,L
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00180926989242696,0.00115317333345587,0.00295083841248832,3.12006249625389e-07,3.42144988095378e-07,6.54151237720767e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00184179033552699,0.00195533775483125,0.00185265282292194,3.01785358096954e-07,1.82152231161706e-07,4.83937589258661e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00159121030489937,0.000771237663955142,0.002082679813009,3.2464299380149e-07,4.30028367367263e-07,7.54671361168753e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00108516063115636,0.00110750413144088,0.0014566148350762,3.35120896905064e-07,2.44976374474124e-07,5.80097271379188e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.000767119291642334,0.00181532091995855,0.00246014952656026,3.15745051232458e-07,4.40941137054773e-07,7.56686188287231e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00162650924503359,0.00145388144270651,0.00113841499019478,3.14294113075875e-07,1.86284577702876e-07,5.00578690778751e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00121773122823118,0.00127785287171804,0.00213649063491324,3.27396720213139e-07,3.98939237358237e-07,7.26335957571376e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00197981522044117,0.00139926745336035,0.0023954695990228,3.04500672807629e-07,3.75603828871369e-07,6.80104501678998e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00188780086282696,0.000911274996098263,0.00176253873853735,3.12936013423575e-07,3.40606240443574e-07,6.5354225386715e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00154557298429612,0.000859516813156178,0.00253741400842858,3.24673539867503e-07,4.32582273010818e-07,7.57255812878321e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.000972564286205898,0.0016652517075843,0.00104968637414199,3.17866964596132e-07,1.1133260883491e-07,4.29199573431042e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00118259647616611,0.00170263461809598,0.00121435101588117,3.14285715202554e-07,1.4298996010529e-07,4.57275675307845e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00149841557853653,0.00181160040696064,0.00283413063683811,3.08314551570047e-07,4.15704471667037e-07,7.24019023237085e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00100233447408263,0.00193024545996832,0.00198370655729186,3.09054004562588e-07,1.88353389105138e-07,4.97407393667726e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.000885251242467987,0.00105962483487364,0.00159294312525996,3.41275353609332e-07,3.24374912180852e-07,6.65650265790184e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00126900161211914,0.000997454449855064,0.00223575807217937,3.32039922934986e-07,4.83288212990333e-07,8.1532813592532e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00172444044097411,0.00157153371349931,0.00279734886894584,3.10297115419143e-07,4.08343027408682e-07,7.18640142827825e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00142666910499557,0.00120602138378875,0.00164142244187265,3.23481126856704e-07,2.48788528260759e-07,5.72269655117463e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.00136522268483306,0.00134536413568204,0.0026059769758575,3.22584796586029e-07,4.59225762762231e-07,7.8181055934826e-07
bobinaL1,2,1.5,0.00675,0.0075,0.00075,0.000859359818864713,0.00155638536495931,0.00134245258221241,3.23144848850115e-07,1.99574378555657e-07,5.22719227405771e-07
