coil_type,turns,turns2,r1,r2,wire_d,pitch1,pitch2,Lcore,Lpri,Lsec,L
4,4.5,2,0.00075,0.00125,0.0005,0.0018092698924269,0.0011531733334558,0.0024639878836228,4.63089940872584e-08,7.57199675328053e-09,5.38809908405389e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0018417903355269,0.0019553377548312,0.0024639878836228,4.7369417956689e-08,5.32093277752218e-09,5.26903507342112e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0015912103048993,0.0007712376639551,0.0024639878836228,4.96596517042095e-08,8.632351797227231e-09,5.82920035014367e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0010851606311563,0.0011075041314408,0.0024639878836228,5.01416941787264e-08,7.047952847038091e-09,5.71896470257645e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0007671192916423,0.0018153209199585,0.0024639878836228,4.2838377924358e-08,6.7477107481814e-09,4.95860886725394e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0016265092450335,0.0014538814427065,0.0024639878836228,4.64362338787745e-08,1.55041538684382e-09,4.79866492656183e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0012177312282311,0.001277852871718,0.0024639878836228,4.82810385715285e-08,8.20679350811023e-09,5.64878320796387e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0019798152204411,0.0013992674533603,0.0024639878836228,4.60844836133605e-08,9.09858888009103e-09,5.51830724934516e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0018878008628269,0.0009112749960982,0.0024639878836228,4.75770002986106e-08,8.45992169553308e-09,5.60369219941437e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0015455729842961,0.0008595168131561,0.0024639878836228,4.87363444098815e-08,7.85124553394499e-09,5.65875899438265e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0009725642862058,0.0016652517075843,0.0024639878836228,4.3771838515758e-08,1.67153730857751e-09,4.54433758243356e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0011825964761661,0.0017026346180959,0.0024639878836228,4.44197554294189e-08,1.52904185485409e-09,4.5948797284273e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0014984155785365,0.0018116004069606,0.0024639878836228,4.46205432522482e-08,9.3360838589662e-09,5.39566271112144e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0010023344740826,0.0019302454599683,0.0024639878836228,4.27526339259531e-08,6.57701801817352e-09,4.93296519441266e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0008852512424679,0.0010596248348736,0.0024639878836228,5.05671454062092e-08,6.90172079608677e-09,5.74688662022959e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0012690016121191,0.000997454449855,0.0024639878836228,4.92416999380872e-08,8.33100690544834e-09,5.75727068435355e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0017244404409741,0.0015715337134993,0.0024639878836228,4.6568756973222e-08,7.1640269777758514e-09,5.37327839509979e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0014266691049955,0.0012060213837887,0.0024639878836228,4.71755097027537e-08,7.60808543644776e-09,5.47835951392014e-08
4,4.5,2,0.00075,0.00125,0.0005,0.001365222684833,0.001345364135682,0.0024639878836228,4.80822155826223e-08,9.06307611632284e-09,5.71452916989452e-08
4,4.5,2,0.00075,0.00125,0.0005,0.0008593598188647,0.0015563853649593,0.0024639878836228,4.44963046808134e-08,3.66183734240095e-09,4.81581420232143e-08
