"H (A_per_meter)" 	"B (tesla)"
0.000000    0.000000    
1.000000    0.024693    
1.149757    0.028338    
1.321941    0.032513    
1.519911    0.037291    
1.747528    0.042756    
2.009233    0.049003    
2.310130    0.056135    
2.656088    0.064272    
3.053856    0.073543    
3.511192    0.084094    
4.037017    0.096082    
4.641589    0.109682    
5.336699    0.125081    
6.135907    0.142478    
7.054802    0.162086    
8.111308    0.184125    
9.326033    0.208821    
10.722672    0.236397    
12.328467    0.267072    
14.174742    0.301048    
16.297508    0.338503    
18.738174    0.379576    
21.544347    0.424361    
24.770764    0.472888    
28.480359    0.525114    
32.745492    0.580916    
37.649358    0.640074    
43.287613    0.702276    
49.770236    0.767114    
57.223677    0.834092    
65.793322    0.902639    
75.646333    0.972124    
86.974900    1.041881    
100.000000    1.111237    
114.975700    1.179529    
132.194115    1.246140    
151.991108    1.310509    
174.752840    1.372160    
200.923300    1.430702    
231.012970    1.485842    
265.608778    1.537383    
305.385551    1.585215    
351.119173    1.629314    
403.701726    1.669725    
464.158883    1.706552    
533.669923    1.739944    
613.590727    1.770087    
705.480231    1.797189    
811.130831    1.821472    
932.603347    1.843163    
1072.267222    1.862491    
1232.846739    1.879677    
1417.474163    1.894935    
1629.750835    1.908467    
1873.817423    1.920464    
2154.434690    1.931101    
2477.076356    1.940541    
2848.035868    1.948935    
3274.549163    1.956418    
3764.935807    1.963118    
4328.761281    1.969148    
4977.023564    1.974615    
5722.367659    1.979616    
6579.332247    1.984241    
7564.633276    1.988576    
8697.490026    1.992701    
10000.000000    1.996693    
11497.569954    2.000628    
13219.411485    2.004581    
15199.110830    2.008628    
17475.284000    2.012846    
20092.330026    2.017317    
23101.297001    2.022128    
26560.877829    2.027372    
30538.555088    2.033150    
35111.917342    2.039576    
40370.172586    2.046775    
46415.888336    2.054887    
53366.992312    2.064069    
61359.072734    2.074502    
70548.023107    2.086388    
81113.083079    2.099959    
93260.334688    2.115480    
107226.722201    2.133254    
123284.673944    2.153627    
141747.416293    2.176997    
162975.083462    2.203819    
187381.742286    2.234617    
215443.469003    2.269992    
247707.635599    2.310633    
284803.586844    2.357333    
327454.916288    2.411003    
376493.580679    2.472691    
432876.128108    2.543599    
497702.356433    2.625110    
572236.765935    2.718814    
657933.224658    2.826540    
756463.327555    2.950388    
869749.002618    3.092775    
1000000.000000    3.256477    
