"H (A_per_meter)" 	"B (tesla)"
0.000000    0.000000    
1.000000    0.012374    
1.149757    0.014206    
1.321941    0.016305    
1.519911    0.018709    
1.747528    0.021462    
2.009233    0.024611    
2.310130    0.028212    
2.656088    0.032324    
3.053856    0.037018    
3.511192    0.042370    
4.037017    0.048463    
4.641589    0.055391    
5.336699    0.063256    
6.135907    0.072168    
7.054802    0.082247    
8.111308    0.093619    
9.326033    0.106416    
10.722672    0.120774    
12.328467    0.136832    
14.174742    0.154725    
16.297508    0.174579    
18.738174    0.196512    
21.544347    0.220618    
24.770764    0.246968    
28.480359    0.275597    
32.745492    0.306500    
37.649358    0.339621    
43.287613    0.374852    
49.770236    0.412028    
57.223677    0.450924    
65.793322    0.491259    
75.646333    0.532703    
86.974900    0.574886    
100.000000    0.617410    
114.975700    0.659862    
132.194115    0.701836    
151.991108    0.742942    
174.752840    0.782821    
200.923300    0.821161    
231.012970    0.857702    
265.608778    0.892239    
305.385551    0.924629    
351.119173    0.954783    
403.701726    0.982665    
464.158883    1.008287    
533.669923    1.031699    
613.590727    1.052982    
705.480231    1.072241    
811.130831    1.089600    
932.603347    1.105191    
1072.267222    1.119155    
1232.846739    1.131633    
1417.474163    1.142763    
1629.750835    1.152680    
1873.817423    1.161515    
2154.434690    1.169388    
2477.076356    1.176414    
2848.035868    1.182700    
3274.549163    1.188345    
3764.935807    1.193440    
4328.761281    1.198072    
4977.023564    1.202321    
5722.367659    1.206260    
6579.332247    1.209961    
7564.633276    1.213490    
8697.490026    1.216914    
10000.000000    1.220296    
11497.569954    1.223700    
13219.411485    1.227190    
15199.110830    1.230834    
17475.284000    1.234702    
20092.330026    1.238868    
23101.297001    1.243414    
26560.877829    1.248427    
30538.555088    1.254005    
35111.917342    1.260256    
40370.172586    1.267303    
46415.888336    1.275282    
53366.992312    1.284350    
61359.072734    1.294682    
70548.023107    1.306481    
81113.083079    1.319977    
93260.334688    1.335432    
107226.722201    1.353149    
123284.673944    1.373472    
141747.416293    1.396798    
162975.083462    1.423583    
187381.742286    1.454348    
215443.469003    1.489694    
247707.635599    1.530311    
284803.586844    1.576989    
327454.916288    1.630641    
376493.580679    1.692312    
432876.128108    1.763206    
497702.356433    1.844704    
572236.765935    1.938398    
657933.224658    2.046115    
756463.327555    2.169955    
869749.002618    2.312334    
1000000.000000    2.476030    
